age,gender,marital_status,number_of_dependents,education_level,employment_type,occupation,income_type,state,area_type,monthly_income,loan_type,loan_amount_requested,loan_tenure_months,loan_purpose,credit_score,existing_emi,savings_balance,total_assets_value,liquid_assets_value,loan_to_income_ratio,debt_to_income_ratio,loan_status
35.0,1,4,1.0,1,3,7,0,18,1,516666.6666666667,1,16200000.0,48.0,2,888.0,24062.435233338063,4000000.0,40200000.0,28300000.0,2.6129032258064515,0.0465724552903317,1
40.0,1,2,0.0,1,0,5,2,31,1,441666.6666666667,1,19500000.0,144.0,1,802.0,0.0,3200000.0,31500000.0,18400000.0,3.679245283018868,0.0,1
53.0,0,2,5.0,1,3,11,0,12,1,733333.3333333334,0,21300000.0,168.0,0,852.0,127838.34424686742,9900000.0,52800000.0,38400000.0,2.4204545454545454,0.1743250148820919,1
47.0,0,5,5.0,1,1,7,2,26,2,625000.0,0,15800000.0,216.0,0,458.0,29236.83795862779,8400000.0,45100000.0,30800000.0,2.1066666666666665,0.0467789407338044,0
31.0,1,4,5.0,0,3,11,0,18,0,583333.3333333334,1,26900000.0,48.0,2,889.0,0.0,7400000.0,35400000.0,29800000.0,3.842857142857143,0.0,1
29.0,1,2,0.0,0,3,13,3,0,1,375000.0,1,12400000.0,216.0,2,719.0,28583.613522604097,3100000.0,22800000.0,12300000.0,2.7555555555555555,0.0762229693936109,1
42.0,1,4,2.0,1,3,5,0,13,1,766666.6666666666,1,25300000.0,48.0,1,827.0,0.0,11000000.0,72100000.0,30300000.0,2.75,0.0,1
36.0,1,4,1.0,1,1,5,2,11,2,191666.66666666663,1,7200000.0,96.0,2,453.0,0.0,3400000.0,16600000.0,11500000.0,3.130434782608696,0.0,0
32.0,0,2,2.0,0,3,13,0,14,2,416666.6666666667,1,14600000.0,120.0,1,808.0,83756.19566934697,3100000.0,28300000.0,20400000.0,2.92,0.2010148696064327,1
21.0,0,2,2.0,0,3,1,0,33,2,200000.0,0,5400000.0,144.0,3,739.0,0.0,3000000.0,10800000.0,8000000.0,2.25,0.0,1
38.0,0,4,2.0,1,3,6,3,19,2,558333.3333333334,1,25500000.0,120.0,1,673.0,0.0,5000000.0,49800000.0,30100000.0,3.805970149253731,0.0,1
35.0,1,4,5.0,1,3,4,0,30,2,491666.6666666667,1,15600000.0,24.0,1,730.0,0.0,5900000.0,39100000.0,21800000.0,2.6440677966101696,0.0,1
47.0,1,2,5.0,1,3,4,0,18,2,108333.33333333331,1,4300000.0,24.0,1,595.0,6692.247738408939,1500000.0,6200000.0,4400000.0,3.3076923076923075,0.0617745945083902,1
39.0,1,1,3.0,0,1,11,2,25,1,200000.0,1,8200000.0,120.0,1,531.0,25857.01739508222,2000000.0,16400000.0,7700000.0,3.4166666666666665,0.1292850869754111,0
31.0,1,4,2.0,1,3,7,0,14,1,508333.3333333333,1,22300000.0,96.0,2,694.0,61441.18027771267,7200000.0,57200000.0,30100000.0,3.6557377049180326,0.1208678956282872,1
41.0,1,4,0.0,1,1,6,2,7,1,2987.0,1,88000.0,360.0,1,606.7524300215787,444.3012203472034,6770.25019733695,16106.789229387428,7308.04723273841,2.455083138042629,0.148744968311752,0
42.0,0,3,2.0,1,1,6,2,0,1,375000.0,1,17200000.0,72.0,2,832.0,28919.201216866262,6700000.0,28800000.0,17600000.0,3.8222222222222224,0.0771178699116433,1
35.0,1,2,0.0,1,3,1,0,15,2,50000.0,1,2300000.0,48.0,1,319.0,0.0,700000.0,5400000.0,3000000.0,3.8333333333333335,0.0,1
33.0,0,4,1.0,0,0,13,2,12,2,341666.6666666667,1,11100000.0,72.0,1,405.0,19573.79850671325,5900000.0,29800000.0,14900000.0,2.707317073170732,0.0572891663611119,0
45.0,1,2,1.0,1,3,5,0,15,2,100000.0,1,4700000.0,24.0,1,667.0,6431.28618078595,800000.0,6400000.0,5000000.0,3.9166666666666665,0.0643128618078595,1
40.0,1,0,2.0,1,1,11,2,21,1,358333.3333333333,1,14700000.0,24.0,1,871.0,0.0,4400000.0,29700000.0,18300000.0,3.4186046511627906,0.0,1
24.0,0,2,5.0,0,3,2,0,6,1,633333.3333333334,0,15400000.0,168.0,3,576.0,20232.51823212411,4700000.0,34300000.0,29200000.0,2.026315789473684,0.0319460814191433,1
34.0,1,2,5.0,1,3,7,0,14,1,766666.6666666666,1,29400000.0,96.0,1,318.0,38393.718268846475,5400000.0,63100000.0,39200000.0,3.1956521739130435,0.0500787629593649,0
38.0,1,4,3.0,0,1,0,2,0,1,4707.0,1,148000.0,360.0,2,665.1623394655145,71.8153481554626,4900.7107388580625,30074.10849381814,6203.9612149604,2.620211033212945,0.0152571379127815,1
45.0,1,5,3.0,1,0,11,2,9,0,116666.66666666669,0,3200000.0,96.0,3,753.0,0.0,2000000.0,9800000.0,5600000.0,2.2857142857142856,0.0,1
40.0,0,2,1.0,0,1,11,2,6,2,216666.66666666663,1,8100000.0,144.0,2,854.0,7692.364729546977,2500000.0,18400000.0,8800000.0,3.1153846153846154,0.0355032218286783,1
38.0,0,4,1.0,1,1,6,2,28,2,600000.0,1,22800000.0,24.0,2,551.0,0.0,9500000.0,54500000.0,30800000.0,3.1666666666666665,0.0,1
53.0,1,4,1.0,1,3,1,3,7,0,50000.0,1,1800000.0,96.0,1,799.0,1300.414783674726,800000.0,4700000.0,3000000.0,3.0,0.0260082956734945,1
37.0,0,2,1.0,1,1,11,2,11,1,475000.0,0,12400000.0,168.0,0,396.0,0.0,5600000.0,36100000.0,23200000.0,2.175438596491228,0.0,0
21.0,1,2,0.0,1,3,5,3,8,0,608333.3333333334,1,23300000.0,24.0,2,616.0,37595.72970756519,4100000.0,51500000.0,29900000.0,3.191780821917808,0.0618011995192852,1
41.0,1,2,2.0,1,3,5,3,3,1,425000.0,1,19700000.0,240.0,1,590.0,11120.527318309054,3400000.0,39500000.0,22800000.0,3.862745098039216,0.0261659466313154,1
37.0,0,1,0.0,1,1,4,2,14,1,633333.3333333334,1,30100000.0,24.0,1,743.0,0.0,9600000.0,66600000.0,37200000.0,3.960526315789474,0.0,1
31.0,1,2,5.0,1,3,11,3,11,2,683333.3333333334,1,28900000.0,48.0,2,485.0,0.0,6800000.0,45700000.0,26200000.0,3.524390243902439,0.0,1
32.0,1,4,4.0,1,1,11,2,17,0,600000.0,0,16900000.0,48.0,3,702.0,149475.7400920334,9600000.0,54600000.0,31600000.0,2.3472222222222223,0.2491262334867223,1
31.0,1,1,1.0,0,3,1,3,23,2,566666.6666666666,0,13700000.0,120.0,0,879.0,46907.49124080101,6800000.0,31900000.0,28800000.0,2.014705882352941,0.0827779257190606,1
37.0,0,4,5.0,0,3,10,1,0,2,566666.6666666666,1,19000000.0,96.0,1,865.0,115995.23751295565,6300000.0,48000000.0,31300000.0,2.7941176470588234,0.2046974779640393,1
47.0,0,2,4.0,1,1,7,2,35,1,825000.0,1,26100000.0,24.0,1,481.0,90910.93329866992,9300000.0,52400000.0,32900000.0,2.636363636363636,0.1101950706650544,0
28.0,1,4,2.0,0,3,1,0,6,2,458333.3333333333,1,18400000.0,120.0,2,515.0,42671.97077453669,4100000.0,33800000.0,22600000.0,3.3454545454545452,0.0931024816898982,0
25.0,0,4,2.0,0,1,13,2,35,2,358333.3333333333,1,14500000.0,120.0,2,594.0,9912.10668843592,5300000.0,31400000.0,19300000.0,3.372093023255814,0.0276616930840072,1
25.0,1,1,5.0,0,3,1,0,3,2,450000.0,1,16700000.0,24.0,1,354.0,77519.66226644839,5200000.0,30100000.0,24500000.0,3.092592592592593,0.1722659161476631,1
35.0,0,2,2.0,1,1,6,2,29,1,500000.0,1,17400000.0,192.0,2,806.0,22137.210318085843,3500000.0,27600000.0,23700000.0,2.9,0.0442744206361716,1
44.0,0,2,2.0,0,3,2,0,0,2,50000.0,1,1700000.0,24.0,2,495.0,7306.262463169204,500000.0,3600000.0,1700000.0,2.8333333333333335,0.146125249263384,0
46.0,0,0,3.0,1,1,4,2,6,0,416666.6666666667,1,12700000.0,168.0,1,865.0,24243.937977081383,6300000.0,38600000.0,25800000.0,2.54,0.0581854511449953,1
38.0,1,1,4.0,1,3,5,1,35,2,316666.6666666667,1,14000000.0,72.0,2,711.0,16980.23903128841,3100000.0,34400000.0,17600000.0,3.6842105263157894,0.0536218074672265,1
49.0,0,3,0.0,0,3,1,0,13,2,266666.6666666667,1,11600000.0,48.0,1,393.0,15177.11235652297,3100000.0,16100000.0,11100000.0,3.625,0.0569141713369611,1
38.0,0,4,0.0,0,3,2,1,17,1,750000.0,1,24300000.0,120.0,1,599.0,0.0,6400000.0,49600000.0,33300000.0,2.7,0.0,1
30.0,1,4,4.0,1,3,11,0,1,0,25000.0,1,1100000.0,144.0,2,674.0,0.0,200000.0,1600000.0,1000000.0,3.6666666666666665,0.0,1
30.0,0,4,5.0,1,1,6,2,8,0,166666.66666666666,1,6100000.0,24.0,1,407.0,0.0,2000000.0,10400000.0,6600000.0,3.05,0.0,1
25.0,1,4,2.0,1,3,4,0,8,1,716666.6666666666,1,24900000.0,240.0,2,607.0,0.0,5400000.0,58400000.0,37200000.0,2.895348837209302,0.0,1
35.0,0,2,1.0,0,1,1,2,3,1,491666.6666666667,0,13000000.0,72.0,3,779.0,0.0,6600000.0,42100000.0,19700000.0,2.2033898305084745,0.0,1
25.0,1,2,4.0,0,3,1,0,30,2,775000.0,1,24600000.0,192.0,1,419.0,8914.915297238602,5100000.0,49900000.0,31800000.0,2.6451612903225805,0.0115031165125659,0
30.0,1,2,0.0,1,0,14,2,6,1,3087.0,1,136000.0,360.0,2,509.4144507987881,371.20767268327154,4747.88933308564,35196.89707271414,17544.33061496421,3.6713097937587738,0.1202486791976908,0
29.0,0,2,0.0,1,3,5,1,10,2,458333.3333333333,1,18200000.0,48.0,2,332.0,46786.668900985795,5600000.0,34100000.0,22000000.0,3.309090909090909,0.1020800048748781,1
40.0,0,2,2.0,1,4,4,2,16,2,275000.0,1,8300000.0,72.0,2,653.0,19642.86737706576,4600000.0,20700000.0,12900000.0,2.515151515151515,0.0714286086438754,1
44.0,1,4,4.0,0,3,1,3,35,0,441666.6666666667,0,10700000.0,144.0,0,700.0,0.0,2900000.0,41100000.0,23400000.0,2.018867924528302,0.0,1
51.0,1,2,1.0,0,2,2,2,23,2,3500.0,1,135000.0,360.0,2,650.0,341.10627419846855,11138.397156113257,83054.46545650334,25230.00117928664,3.2142857142857144,0.0974589354852767,1
39.0,1,2,3.0,1,3,5,0,16,2,108333.33333333331,1,4300000.0,216.0,2,412.0,25924.40199890693,1200000.0,7900000.0,6400000.0,3.3076923076923075,0.2393021722976024,0
35.0,1,1,4.0,0,3,11,3,12,1,33333.333333333336,0,900000.0,240.0,3,771.0,5126.510691970346,500000.0,3600000.0,2100000.0,2.25,0.1537953207591103,1
37.0,1,4,3.0,1,1,1,2,23,0,691666.6666666666,0,17700000.0,192.0,3,848.0,108694.84426878912,5900000.0,36200000.0,24600000.0,2.1325301204819276,0.1571491724368035,1
29.0,1,2,0.0,1,1,1,2,14,0,150000.0,1,6600000.0,48.0,1,898.0,13425.24354306654,1400000.0,8500000.0,6000000.0,3.6666666666666665,0.0895016236204436,1
43.0,1,5,1.0,1,4,14,2,11,2,3667.0,1,128000.0,180.0,1,739.6660807264503,0.0,4451.679758406419,75427.18363807858,29042.240151860384,2.90882647032088,0.0,1
33.0,1,2,0.0,1,1,5,2,18,1,116666.66666666669,1,5500000.0,72.0,2,393.0,0.0,1800000.0,9200000.0,7200000.0,3.928571428571429,0.0,0
25.0,1,4,3.0,1,3,4,0,4,2,241666.66666666663,0,5800000.0,144.0,0,353.0,8436.973340662822,3100000.0,24200000.0,13200000.0,2.0,0.0349116138234323,0
21.0,1,2,2.0,1,3,7,3,31,2,100000.0,1,4600000.0,240.0,2,605.0,20048.201010841556,600000.0,10300000.0,5200000.0,3.8333333333333335,0.2004820101084155,1
34.0,1,4,3.0,0,3,1,3,28,2,500000.0,1,16000000.0,144.0,2,606.0,0.0,7800000.0,41300000.0,27100000.0,2.6666666666666665,0.0,1
25.0,0,4,2.0,1,3,4,3,15,1,375000.0,1,12600000.0,24.0,2,568.0,46381.66823375413,2900000.0,31500000.0,20700000.0,2.8,0.1236844486233443,1
37.0,1,2,3.0,1,1,12,2,10,0,23803.0,1,370000.0,360.0,1,755.3431594148817,3130.440302210783,29090.274373201595,159153.5981848562,64063.27250473433,1.2953549272500666,0.1315145276734354,1
44.0,1,2,1.0,0,3,2,0,22,2,141666.66666666666,1,5000000.0,120.0,1,888.0,0.0,2200000.0,10100000.0,6300000.0,2.9411764705882355,0.0,1
52.0,0,2,0.0,1,3,5,3,14,2,100000.0,1,4200000.0,48.0,1,768.0,0.0,1500000.0,9300000.0,4300000.0,3.5,0.0,1
60.0,1,2,1.0,1,3,7,0,35,2,633333.3333333334,1,25400000.0,120.0,2,595.0,0.0,11000000.0,44200000.0,35900000.0,3.3421052631578947,0.0,1
33.0,1,1,0.0,0,2,11,2,8,1,350000.0,1,14800000.0,240.0,1,510.0,0.0,2600000.0,29400000.0,14500000.0,3.5238095238095237,0.0,0
25.0,1,2,4.0,1,3,7,1,22,2,450000.0,1,17100000.0,24.0,1,533.0,24749.89298609756,4700000.0,35800000.0,16900000.0,3.1666666666666665,0.0549997621913279,1
44.0,1,5,4.0,1,1,1,2,30,1,50000.0,1,1600000.0,240.0,2,869.0,0.0,200000.0,4300000.0,1900000.0,2.6666666666666665,0.0,1
34.0,1,2,1.0,1,1,12,2,4,1,6065.0,1,250000.0,360.0,2,722.610516004928,0.0,23479.08216164705,22322.283438406143,6571.086375841848,3.4350096180269305,0.0,1
38.0,1,2,2.0,1,1,5,2,20,2,633333.3333333334,1,28300000.0,144.0,1,800.0,75171.61282237979,7800000.0,57900000.0,23400000.0,3.723684210526316,0.1186920202458628,1
21.0,1,2,4.0,0,1,10,2,5,2,50000.0,1,1700000.0,144.0,1,436.0,4206.203427790802,700000.0,2800000.0,2400000.0,2.8333333333333335,0.084124068555816,0
21.0,0,2,3.0,1,3,6,0,1,2,525000.0,1,19900000.0,144.0,1,770.0,33434.09867372187,3100000.0,22900000.0,18600000.0,3.1587301587301586,0.0636839974737559,1
29.0,1,4,4.0,1,1,11,2,13,2,625000.0,0,16200000.0,48.0,0,310.0,24348.723272293348,5800000.0,45800000.0,20700000.0,2.16,0.0389579572356693,0
31.0,1,4,5.0,0,3,13,0,34,1,541666.6666666666,1,18900000.0,144.0,1,427.0,0.0,7800000.0,33000000.0,26000000.0,2.9076923076923076,0.0,0
25.0,0,2,5.0,1,3,1,1,5,2,191666.66666666663,1,6700000.0,192.0,2,612.0,0.0,2000000.0,20800000.0,10800000.0,2.9130434782608696,0.0,1
28.0,1,4,0.0,0,3,10,1,29,2,783333.3333333334,1,27000000.0,120.0,1,536.0,19699.550985585294,4800000.0,44700000.0,38600000.0,2.872340425531915,0.0251483629603216,0
21.0,0,4,3.0,0,4,11,2,4,2,133333.33333333334,1,5600000.0,72.0,1,710.0,0.0,1600000.0,11500000.0,7600000.0,3.5,0.0,1
45.0,1,2,0.0,1,2,13,2,23,2,3033.0,1,95000.0,360.0,1,821.2606197487289,0.0,6145.672914362668,18241.75815571835,5608.7702427171,2.6101769425211563,0.0,1
31.0,0,2,0.0,0,1,10,2,14,1,16666.666666666668,1,600000.0,144.0,1,683.0,638.0093359157305,0.0,1000000.0,400000.0,3.0,0.0382805601549438,1
31.0,1,2,0.0,0,1,11,2,0,1,383333.3333333333,1,12600000.0,192.0,1,574.0,2219.988178503666,3600000.0,28300000.0,18700000.0,2.739130434782609,0.0057912735091399,1
34.0,1,4,0.0,1,1,5,2,12,0,366666.6666666667,0,10600000.0,240.0,0,653.0,0.0,5400000.0,33600000.0,22200000.0,2.409090909090909,0.0,1
33.0,0,1,2.0,0,3,1,0,6,1,558333.3333333334,0,15200000.0,120.0,0,689.0,39390.620835146095,6800000.0,30000000.0,21800000.0,2.2686567164179103,0.0705503656748885,1
24.0,1,2,3.0,1,3,5,0,13,2,616666.6666666666,1,25700000.0,24.0,1,461.0,98277.10075933755,5100000.0,28800000.0,20200000.0,3.472972972972973,0.1593682715016285,1
34.0,1,4,0.0,0,1,1,2,31,2,400000.0,1,19000000.0,144.0,2,650.0,50684.72461204832,4800000.0,28400000.0,20400000.0,3.9583333333333335,0.1267118115301208,1
28.0,1,2,1.0,1,2,7,2,3,1,625000.0,1,28300000.0,192.0,1,707.0,55698.717796554214,6700000.0,33800000.0,23000000.0,3.7733333333333334,0.0891179484744867,1
36.0,1,4,1.0,0,1,10,2,5,2,575000.0,1,20900000.0,48.0,1,574.0,0.0,5200000.0,35200000.0,30200000.0,3.028985507246377,0.0,1
23.0,1,1,5.0,0,3,11,0,13,1,541666.6666666666,0,15800000.0,192.0,3,301.0,0.0,7100000.0,43600000.0,24500000.0,2.4307692307692306,0.0,0
22.0,0,4,1.0,0,3,2,3,21,0,475000.0,1,20100000.0,168.0,1,442.0,0.0,6500000.0,43400000.0,24400000.0,3.526315789473684,0.0,0
25.0,0,4,4.0,0,3,13,0,28,1,633333.3333333334,1,23800000.0,192.0,1,896.0,33247.747036564666,6400000.0,30000000.0,21800000.0,3.1315789473684212,0.0524964426893126,1
38.0,1,2,5.0,1,3,9,3,26,2,575000.0,0,16500000.0,72.0,0,447.0,49484.12287317491,6600000.0,25200000.0,20700000.0,2.391304347826087,0.0860593441272607,0
34.0,0,2,4.0,0,1,2,2,20,2,600000.0,0,17700000.0,72.0,0,338.0,122063.7421613416,7200000.0,54200000.0,35000000.0,2.4583333333333335,0.2034395702689027,0
36.0,0,4,0.0,1,3,7,3,33,1,516666.6666666667,1,22400000.0,216.0,2,873.0,0.0,8200000.0,46300000.0,24000000.0,3.612903225806451,0.0,1
41.0,1,2,1.0,1,1,5,2,0,1,266666.6666666667,1,8900000.0,144.0,1,866.0,0.0,2400000.0,18100000.0,12300000.0,2.78125,0.0,1
53.0,0,2,4.0,1,0,4,2,33,1,475000.0,1,21100000.0,216.0,1,489.0,0.0,6000000.0,23300000.0,18500000.0,3.701754385964912,0.0,0
35.0,1,1,4.0,1,3,5,0,29,1,266666.6666666667,1,11500000.0,240.0,1,864.0,13913.76118260406,4100000.0,29900000.0,16200000.0,3.59375,0.0521766044347652,1
30.0,1,4,4.0,0,3,1,0,21,2,483333.3333333333,0,13300000.0,168.0,3,742.0,0.0,7000000.0,48700000.0,23300000.0,2.293103448275862,0.0,1
43.0,1,4,3.0,1,1,1,2,5,2,566666.6666666666,1,21800000.0,120.0,1,556.0,41055.7261404865,5400000.0,50200000.0,24500000.0,3.2058823529411766,0.0724512814243879,1
41.0,1,0,0.0,1,3,7,0,0,1,91666.66666666669,1,2800000.0,216.0,1,431.0,5356.50243967727,1400000.0,6500000.0,5700000.0,2.5454545454545454,0.0584345720692065,0
44.0,1,5,1.0,1,3,4,0,17,0,425000.0,1,15300000.0,48.0,1,628.0,6306.834804749208,2700000.0,30500000.0,20300000.0,3.0,0.0148396113052922,1
42.0,1,2,5.0,1,1,7,2,27,1,750000.0,0,18000000.0,216.0,0,509.0,0.0,6100000.0,55900000.0,26100000.0,2.0,0.0,0
34.0,1,2,1.0,0,3,2,1,24,2,466666.6666666667,0,13700000.0,96.0,0,491.0,0.0,4200000.0,36500000.0,22700000.0,2.4464285714285716,0.0,0
21.0,0,1,3.0,0,4,11,2,8,1,725000.0,1,24700000.0,96.0,2,369.0,25721.75195947174,4800000.0,40700000.0,35900000.0,2.839080459770115,0.0354782785647886,0
21.0,1,4,1.0,0,3,1,0,6,1,750000.0,1,29900000.0,24.0,2,668.0,0.0,4700000.0,58400000.0,29100000.0,3.3222222222222224,0.0,1
28.0,0,2,1.0,1,1,4,2,18,0,200000.0,0,5800000.0,240.0,0,384.0,45296.78470213687,3100000.0,15700000.0,11500000.0,2.4166666666666665,0.2264839235106843,0
34.0,1,4,3.0,0,1,13,2,8,0,500000.0,1,18700000.0,120.0,2,387.0,59111.26654169495,6700000.0,42800000.0,30000000.0,3.1166666666666667,0.1182225330833899,0
47.0,1,4,1.0,1,3,6,3,21,2,175000.0,1,7300000.0,192.0,2,826.0,3665.517581937994,1400000.0,14200000.0,9100000.0,3.4761904761904763,0.0209458147539313,1
25.0,1,2,5.0,1,3,6,0,14,1,791666.6666666666,0,21700000.0,192.0,3,307.0,0.0,9700000.0,68400000.0,38200000.0,2.2842105263157895,0.0,0
30.0,0,4,4.0,1,3,1,0,30,1,816666.6666666666,0,22100000.0,48.0,0,364.0,120220.23794194598,7300000.0,61700000.0,33800000.0,2.2551020408163267,0.147208454622791,0
45.0,1,2,0.0,1,1,11,2,4,1,3246.0,1,138000.0,360.0,2,723.0493058945174,185.35067698596583,8158.18732496763,42652.554550072586,14559.040340658534,3.5428219346888477,0.0571012560030701,1
29.0,0,4,3.0,0,3,11,0,15,2,450000.0,1,14700000.0,48.0,1,359.0,103231.59835497991,6100000.0,43400000.0,21200000.0,2.7222222222222223,0.2294035518999553,0
31.0,1,2,2.0,1,3,11,3,16,2,5417.0,1,267000.0,360.0,1,705.0445382650206,0.0,10177.15331943391,23024.723320267825,5858.3121454737275,4.10743954218202,0.0,1
54.0,1,2,0.0,1,1,3,2,18,1,6250.0,1,128000.0,360.0,1,781.7003933196049,1480.3457887003738,13969.859182665983,69733.36801090954,16230.510724881931,1.7066666666666668,0.2368553261920598,1
38.0,1,2,2.0,1,1,3,2,17,2,3153.0,1,134000.0,360.0,2,653.9154497789036,0.0,16234.410869228026,9026.530797227204,2125.4231901712396,3.5416005920287557,0.0,1
21.0,0,2,4.0,0,3,2,0,22,2,50000.0,1,1800000.0,96.0,1,417.0,3858.568341845228,800000.0,5000000.0,2600000.0,3.0,0.0771713668369045,0
53.0,1,2,1.0,1,1,7,2,19,2,75000.0,1,2600000.0,48.0,1,346.0,10197.98506229752,900000.0,4900000.0,3800000.0,2.888888888888889,0.1359731341639669,0
39.0,0,2,1.0,0,3,11,1,22,1,483333.3333333333,0,13900000.0,72.0,0,345.0,0.0,5500000.0,39700000.0,26400000.0,2.396551724137931,0.0,0
45.0,0,2,4.0,0,3,13,1,17,1,325000.0,1,12000000.0,168.0,2,893.0,0.0,5200000.0,28800000.0,18100000.0,3.076923076923077,0.0,1
42.0,1,2,4.0,1,3,7,0,31,1,50000.0,1,2300000.0,72.0,1,495.0,6066.573130492698,300000.0,4600000.0,2300000.0,3.8333333333333335,0.1213314626098539,0
45.0,1,2,4.0,1,1,1,2,10,2,658333.3333333334,1,31500000.0,240.0,1,534.0,92027.62994744652,6400000.0,48900000.0,28000000.0,3.9873417721518982,0.139788804983463,0
38.0,0,4,1.0,1,3,11,1,1,2,791666.6666666666,1,35400000.0,168.0,1,439.0,76228.05873836565,13500000.0,35300000.0,33700000.0,3.726315789473684,0.0962880741958303,0
36.0,0,4,4.0,0,0,10,2,8,2,216666.66666666663,1,7200000.0,192.0,1,612.0,0.0,1400000.0,9500000.0,7200000.0,2.769230769230769,0.0,1
45.0,0,2,1.0,1,3,5,3,26,0,625000.0,1,25000000.0,216.0,2,628.0,80855.66196537868,4700000.0,32100000.0,26400000.0,3.3333333333333335,0.1293690591446059,1
28.0,1,1,3.0,0,1,1,2,25,1,458333.3333333333,1,16200000.0,216.0,2,778.0,0.0,6100000.0,36800000.0,21400000.0,2.9454545454545453,0.0,1
23.0,1,2,0.0,1,1,6,2,22,0,2768.0,1,155000.0,360.0,1,751.084360724365,0.0,2021.2377726388136,1972.5816462156704,548.6914682891128,4.666425818882466,0.0,1
